Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
M Muralitharan,Sri Lanka,350,341,534,12326,7/30,35.2,23.08,3.93,15,10,1993,2011
Wasim Akram,Pakistan,356,351,502,11812,5/15,36.2,23.52,3.89,17,6,1984,2003
Waqar Younis,Pakistan,262,258,416,9919,7/36,30.5,23.84,4.68,14,13,1989,2003
WPUJC Vaas,Sri Lanka,322,320,400,11014,8/19,39.4,27.53,4.18,9,4,1994,2008
Shahid Afridi,Pakistan,398,372,395,13632,7/12,44.7,34.51,4.62,4,9,1996,2015
SM Pollock,South Africa,303,297,393,9631,6/35,39.9,24.5,3.67,12,5,1996,2008
GD McGrath,Australia,250,248,381,8391,7/15,34.0,22.02,3.88,9,7,1993,2007
B Lee,Australia,221,217,380,8877,5/22,29.4,23.36,4.76,14,9,2000,2012
SL Malinga,Sri Lanka,226,220,338,9760,6/38,32.3,28.87,5.35,11,8,2004,2019
A Kumble,India,271,265,337,10412,6/12,43.0,30.89,4.3,8,2,1990,2007
ST Jayasuriya,Sri Lanka,445,368,323,11871,6/29,46.0,36.75,4.78,8,4,1989,2011
J Srinath,India,229,227,315,8847,5/23,37.8,28.08,4.44,7,3,1991,2003
DL Vettori,New Zealand,295,277,305,9674,5/7,46.0,31.71,4.12,8,2,1997,2015
SK Warne,Australia,194,191,293,7541,5/33,36.3,25.73,4.25,12,1,1993,2005
AB Agarkar,India,191,188,288,8021,6/42,32.9,27.85,5.07,10,2,1998,2007
Saqlain Mushtaq,Pakistan,169,165,288,6275,5/20,30.4,21.78,4.29,11,6,1995,2003
Z Khan,India,200,197,282,8301,5/42,35.8,29.43,4.93,7,1,2000,2012
JH Kallis,South Africa,328,283,273,8680,5/30,39.3,31.79,4.84,2,2,1996,2014
AA Donald,South Africa,164,162,272,5926,6/23,31.4,21.78,4.15,11,2,1991,2003
Abdul Razzaq,Pakistan,265,254,269,8564,6/35,40.6,31.83,4.69,8,3,1996,2011
JM Anderson,England,194,191,269,7861,5/23,35.6,29.22,4.92,11,2,2002,2015
Harbhajan Singh,India,236,227,269,8973,5/31,46.3,33.35,4.31,2,3,1998,2015
Mashrafe Mortaza,Bangladesh,217,217,266,8759,6/26,40.5,32.92,4.87,7,1,2001,2019
M Ntini,South Africa,173,171,266,6559,6/22,32.6,24.65,4.53,8,4,1998,2009
Shakib Al Hasan,Bangladesh,206,203,260,7857,5/29,40.4,30.21,4.48,8,2,2006,2019
N Kapil Dev,India,225,221,253,6945,5/43,44.2,27.45,3.71,3,1,1978,1994
Shoaib Akhtar,Pakistan,163,162,247,6169,6/16,31.4,24.97,4.76,6,4,1998,2011
KD Mills,New Zealand,170,169,240,6485,5/25,34.2,27.02,4.72,8,1,2001,2015
MG Johnson,Australia,153,150,239,6038,6/31,31.3,25.26,4.83,9,3,2005,2015
HH Streak,Zimbabwe,189,185,239,7129,5/32,39.6,29.82,4.51,7,1,1993,2005
D Gough,England,159,156,235,6209,5/44,36.0,26.42,4.39,10,2,1994,2006
CA Walsh,West Indies,205,204,227,6918,5/1,47.6,30.47,3.83,6,1,1985,2000
CEL Ambrose,West Indies,176,175,225,5429,5/17,41.5,24.12,3.48,6,4,1988,2000
Abdur Razzak,Bangladesh,153,152,207,6065,5/29,38.4,29.29,4.56,5,4,2004,2014
CZ Harris,New Zealand,250,232,203,7613,5/42,52.5,37.5,4.28,2,1,1990,2004
CJ McDermott,Australia,138,138,203,5018,5/44,36.7,24.71,4.03,4,1,1985,1996
CL Cairns,New Zealand,215,186,201,6594,5/42,40.6,32.8,4.84,3,1,1991,2006
DJ Bravo,West Indies,164,150,199,5874,6/43,32.7,29.51,5.41,6,1,2004,2014
KMDN Kulasekara,Sri Lanka,184,181,199,6751,5/22,41.5,33.92,4.9,4,1,2003,2017
BKV Prasad,India,161,160,196,6332,5/27,41.4,32.3,4.67,3,1,1994,2001
DW Steyn,South Africa,125,124,196,5087,6/39,31.9,25.95,4.87,4,3,2005,2019
SR Waugh,Australia,325,207,195,6761,4/33,45.5,34.67,4.56,3,0,1986,2002
CL Hooper,West Indies,227,203,193,6958,4/34,49.6,36.05,4.36,3,0,1987,2003
L Klusener,South Africa,171,164,192,5751,6/49,38.2,29.95,4.7,1,6,1996,2004
M Morkel,South Africa,117,114,188,4761,5/21,30.6,25.32,4.95,7,2,2007,2018
CRD Fernando,Sri Lanka,147,141,187,5648,6/27,34.7,30.2,5.2,3,1,2001,2012
TG Southee,New Zealand,140,138,186,6373,7/33,37.7,34.26,5.44,4,3,2008,2019
Saeed Ajmal,Pakistan,113,112,184,4182,5/24,32.6,22.72,4.18,6,2,2008,2015
Aaqib Javed,Pakistan,163,159,182,5721,7/37,44.0,31.43,4.28,2,4,1988,1998
Imran Khan,Pakistan,175,153,182,4844,6/14,40.9,26.61,3.89,3,1,1974,1992
RA Jadeja,India,159,155,181,6552,5/36,44.3,36.19,4.89,7,1,2009,2019
Umar Gul,Pakistan,130,128,179,5253,6/42,33.8,29.34,5.19,4,2,2003,2016
SCJ Broad,England,121,121,178,5364,5/23,34.3,30.13,5.26,9,1,2006,2016
NW Bracken,Australia,116,116,174,4240,5/47,33.0,24.36,4.41,5,2,2001,2009
Imran Tahir,South Africa,107,104,173,4297,7/45,32.0,24.83,4.65,7,3,2011,2019
JDP Oram,New Zealand,160,154,173,5047,5/26,39.9,29.17,4.38,3,2,2001,2012
IK Pathan,India,120,118,173,5142,5/27,33.8,29.72,5.26,5,2,2004,2012
MA Starc,Australia,85,85,172,3611,6/28,25.0,20.99,5.02,11,7,2010,2019
NLTC Perera,Sri Lanka,161,152,171,5556,6/44,33.3,32.49,5.83,5,4,2009,2019
A Flintoff,England,141,119,169,4121,5/19,33.2,24.38,4.39,6,2,1999,2009
SR Watson,Australia,190,163,168,5342,4/36,38.4,31.79,4.95,3,0,2002,2015
CH Gayle,West Indies,301,199,167,5926,5/46,44.4,35.48,4.78,3,1,1999,2019
TA Boult,New Zealand,89,89,164,4111,7/34,29.7,25.06,5.05,7,5,2012,2019
Mushtaq Ahmed,Pakistan,144,142,161,5361,5/36,46.8,33.29,4.26,3,1,1989,2003
Sir RJ Hadlee,New Zealand,115,112,158,3407,5/25,39.1,21.56,3.3,1,5,1973,1990
Shoaib Malik,Pakistan,287,217,158,6192,4/19,50.3,39.18,4.66,1,0,1999,2019
MD Marshall,West Indies,136,134,157,4233,4/18,45.7,26.96,3.53,6,0,1980,1992
A Nehra,India,120,120,157,4981,6/23,36.6,31.72,5.19,5,2,2001,2011
M Prabhakar,India,130,127,157,4534,5/33,40.5,28.87,4.27,4,2,1984,1996
GB Hogg,Australia,123,113,156,4188,5/32,35.6,26.84,4.51,3,2,1996,2008
SR Tendulkar,India,463,270,154,6850,5/32,52.2,44.48,5.1,4,2,1989,2012
BAW Mendis,Sri Lanka,87,84,152,3324,6/13,27.3,21.86,4.8,7,3,2008,2015
UDU Chandana,Sri Lanka,147,136,151,4818,5/61,40.6,31.9,4.7,4,1,1994,2007
R Ashwin,India,111,109,150,4937,4/25,40.1,32.91,4.91,1,0,2010,2017
SE Bond,New Zealand,82,80,147,3070,6/19,29.2,20.88,4.28,7,4,2002,2010
J Garner,West Indies,98,98,146,2752,5/31,36.5,18.84,3.09,2,3,1977,1987
IT Botham,England,116,115,145,4139,4/31,43.2,28.54,3.96,3,0,1976,1992
TM Odoyo,Kenya,136,129,145,4335,4/25,38.9,29.89,4.6,5,0,1996,2014
AU Rashid,England,99,93,143,4547,5/27,33.9,31.79,5.62,7,2,2009,2019
JN Gillespie,Australia,97,96,142,3611,5/22,36.2,25.42,4.21,3,3,1996,2005
MA Holding,West Indies,102,102,142,3034,5/26,38.5,21.36,3.32,5,1,1976,1987
CR Woakes,England,99,95,142,4327,6/45,32.6,30.47,5.59,9,3,2011,2019
EJ Chatfield,New Zealand,114,112,140,3618,5/34,43.3,25.84,3.57,3,1,1979,1989
Mohammad Hafeez,Pakistan,218,177,139,5400,4/41,55.6,38.84,4.18,1,0,2003,2019
HDPK Dharmasena,Sri Lanka,141,134,138,4998,4/37,50.7,36.21,4.27,1,0,1994,2004
SB Styris,New Zealand,188,161,137,4839,6/25,44.6,35.32,4.74,4,1,1999,2011
Mohammed Shami,India,73,72,136,3400,5/69,27.2,25.0,5.5,8,1,2013,2019
MF Maharoof,Sri Lanka,109,105,135,3789,6/14,34.3,28.06,4.89,4,2,2004,2016
LE Plunkett,England,89,87,135,4010,5/52,30.6,29.7,5.81,6,1,2005,2019
DW Fleming,Australia,88,88,134,3402,5/36,34.4,25.38,4.41,4,1,1994,2001
