Player,Country,Matches,Innings,Not-Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Centuries,Half-Centuries,Ducks,Fours,Sixers,Starting Year,Ending Year
V Kohli ,INDIA,75,70,20,2633,94.0,52.66,1907,138.07,0,24,2,247,71,2010,2019
RG Sharma ,INDIA,104,96,14,2633,118.0,32.1,1905,138.21,4,19,6,234,120,2007,2019
MJ Guptill ,NZ,83,80,7,2436,105.0,33.36,1810,134.58,2,15,2,215,113,2009,2019
Shoaib Malik ,PAK,111,104,30,2263,75.0,30.58,1824,124.06,0,7,1,186,61,2006,2019
BB McCullum ,NZ,71,70,10,2140,123.0,35.66,1571,136.21,2,13,3,199,91,2005,2015
DA Warner ,AUS,76,76,8,2079,100.0,30.57,1476,140.85,1,15,5,203,86,2009,2019
EJG Morgan ,ENG,86,84,17,2002,91.0,29.88,1475,135.72,0,11,3,151,96,2009,2019
Mohammad Shahzad ,AFG,65,65,3,1936,118.0,31.22,1436,134.81,1,12,3,218,72,2010,2018
JP Duminy ,SA,81,75,25,1934,96.0,38.68,1532,126.24,0,11,6,138,71,2007,2019
PR Stirling ,IRE,72,71,6,1929,91.0,29.67,1401,137.68,0,16,8,233,59,2009,2019
Mohammad Hafeez ,PAK,89,86,8,1908,86.0,24.46,1643,116.12,0,10,6,196,51,2006,2018
TM Dilshan ,SL,80,79,12,1889,104.0,28.19,1567,120.54,1,13,10,223,33,2006,2016
AJ Finch ,AUS,58,58,9,1878,172.0,38.32,1200,156.5,2,11,4,182,90,2011,2019
LRPL Taylor ,NZ,95,87,19,1743,63.0,25.63,1430,121.88,0,5,5,110,65,2006,2019
Umar Akmal ,PAK,84,79,14,1690,94.0,26.0,1377,122.73,0,8,10,122,55,2009,2019
AB de Villiers ,SA,78,75,11,1672,79.0,26.12,1237,135.16,0,10,5,140,60,2006,2017
H Masakadza ,ZIM,66,66,2,1662,93.0,25.96,1418,117.2,0,11,1,151,65,2006,2019
AD Hales ,ENG,60,60,7,1644,116.0,31.01,1203,136.65,1,8,4,175,55,2011,2019
CH Gayle ,WI,58,54,4,1627,117.0,32.54,1139,142.84,2,13,3,138,105,2006,2019
MS Dhoni ,INDIA,98,85,42,1617,56.0,37.6,1282,126.13,0,2,1,116,52,2006,2019
Tamim Iqbal ,BDESHWorld,75,75,5,1613,103.0,23.04,1383,116.63,1,6,6,174,41,2007,2018
MN Samuels ,WI,67,65,10,1611,89.0,29.29,1386,116.23,0,10,0,144,69,2007,2018
SK Raina ,INDIA,78,66,11,1605,101.0,29.18,1190,134.87,1,5,3,145,58,2006,2018
