Player,Country,Matches,Innings,Overs,Maidens,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
SL Malinga,Sri Lanka,79,79,284.5,1,106,2061,5/6,16.1,19.44,7.23,1,2,2006,2019
Shahid Afridi,Pakistan,99,97,361.2,4,98,2396,4/11,22.1,24.44,6.63,3,0,2006,2018
Shakib Al Hasan,Bangladesh,76,75,277.5,2,92,1894,5/20,18.1,20.58,6.81,3,1,2006,2019
Saeed Ajmal,Pakistan,64,63,238.2,2,85,1516,4/19,16.8,17.83,6.36,4,0,2009,2015
Umar Gul,Pakistan,60,60,200.3,2,85,1443,5/6,14.1,16.97,7.19,4,2,2007,2016
Rashid Khan,Afghanistan,45,45,171.0,1,84,1052,5/3,12.2,12.52,6.15,3,2,2015,2019
GH Dockrell,Ireland,73,69,221.2,1,75,1539,4/20,17.7,20.52,6.95,1,0,2010,2019
TG Southee,New Zealand,66,64,233.3,2,75,1954,5/18,18.6,26.05,8.36,0,1,2008,2019
Mohammad Nabi,Afghanistan,75,75,256.4,5,69,1839,4/10,22.3,26.65,7.16,3,0,2010,2019
KMDN Kulasekara,Sri Lanka,58,58,205.1,6,66,1530,4/31,18.6,23.18,7.45,2,0,2008,2017
BAW Mendis,Sri Lanka,39,39,147.3,5,66,952,6/8,13.4,14.42,6.45,3,2,2008,2014
SCJ Broad,England,56,55,195.3,2,65,1491,4/24,18.0,22.93,7.62,1,0,2006,2014
Imran Tahir,South Africa,38,38,140.5,0,63,948,5/23,13.4,15.04,6.73,2,2,2013,2019
DW Steyn,South Africa,44,44,157.1,3,61,1068,4/9,15.4,17.5,6.79,2,0,2007,2019
Mohammad Amir,Pakistan,48,48,175.4,5,59,1224,4/13,17.8,20.74,6.96,1,0,2009,2019
NL McCullum,New Zealand,63,59,187.1,0,58,1278,4/16,19.3,22.03,6.82,2,0,2007,2016
KJ O'Brien,Ireland,90,51,150.3,0,58,1134,4/45,15.5,19.55,7.53,1,0,2008,2019
S Badree,West Indies,52,52,191.0,4,56,1180,4/15,20.4,21.07,6.17,1,0,2012,2018
CJ Jordan,England,43,43,151.3,0,54,1300,4/6,16.8,24.07,8.58,2,0,2014,2019
Mohammad Hafeez,Pakistan,89,67,186.1,2,54,1226,4/10,20.6,22.7,6.58,1,0,2006,2018
Sohail Tanvir,Pakistan,57,57,202.2,3,54,1454,3/12,22.4,26.92,7.18,0,0,2007,2017
RE van der Merwe,Netherlands/South Africa,43,42,149.1,1,54,938,4/35,16.5,17.37,6.28,1,0,2009,2019
WB Rankin,England/Ireland,48,47,170.0,2,53,1138,3/16,19.2,21.47,6.69,0,0,2009,2019
PM Seelaar,Netherlands,69,58,172.3,3,53,1190,4/19,19.5,22.45,6.89,1,0,2008,2019
R Ashwin,India,46,46,171.0,2,52,1193,4/8,19.7,22.94,6.97,2,0,2010,2017
DJ Bravo,West Indies,66,56,173.4,0,52,1470,4/28,20.0,28.26,8.46,2,0,2006,2016
YS Chahal,India,36,36,140.3,1,52,1139,6/25,16.2,21.9,8.1,2,1,2016,2019
Mustafizur Rahman,Bangladesh,37,37,135.1,3,52,1065,5/22,15.5,20.48,7.87,1,1,2015,2019
SP Narine,West Indies,51,49,183.4,1,52,1105,4/12,21.1,21.25,6.01,1,0,2012,2019
JJ Bumrah,India,42,42,153.1,5,51,1029,3/11,18.0,20.17,6.71,0,0,2016,2019
NLTC Perera,Sri Lanka,79,64,175.4,1,51,1628,3/24,20.6,31.92,9.26,0,0,2010,2019
GP Swann,England,39,38,135.0,4,51,859,3/13,15.8,16.84,6.36,0,0,2008,2012
MJ Santner,New Zealand,39,38,128.5,1,49,928,4/11,15.7,18.93,7.2,1,0,2015,2019
SM Sharif,Scotland,42,41,143.5,0,49,1185,4/24,17.6,24.18,8.23,1,0,2012,2019
SR Watson,Australia,58,49,155.0,2,48,1187,4/15,19.3,24.72,7.65,1,0,2006,2016
M Morkel,South Africa,44,44,158.4,3,47,1191,4/17,20.2,25.34,7.5,2,0,2007,2017
IS Sodhi,New Zealand,40,39,138.3,0,47,1131,3/18,17.6,24.06,8.16,0,0,2014,2019
PA van Meekeren,Netherlands,41,39,136.1,2,47,945,4/11,17.3,20.1,6.94,2,0,2013,2019
Shadab Khan,Pakistan,38,36,135.3,1,46,948,4/14,17.6,20.6,6.99,1,0,2017,2019
Bilal Khan,Oman,32,31,111.0,2,45,778,4/19,14.8,17.28,7.0,3,0,2015,2019
MRJ Watt,Scotland,35,33,125.0,2,45,903,5/27,16.6,20.06,7.22,0,1,2015,2019
Abdur Razzak,Bangladesh,34,33,121.4,4,44,838,4/16,16.5,19.04,6.88,1,0,2006,2014
Ahsan Malik,Netherlands,31,29,95.5,1,44,730,5/19,13.0,16.59,7.61,1,1,2012,2017
DJG Sammy,West Indies,68,59,152.4,0,44,1116,5/26,20.8,25.36,7.31,1,1,2007,2017
Mudassar Bukhari,Netherlands,38,35,117.2,4,43,780,4/7,16.3,18.13,6.64,3,0,2008,2016
KD Mills,New Zealand,42,42,149.3,1,43,1228,3/26,20.8,28.55,8.21,0,0,2005,2014
Imad Wasim,Pakistan,41,40,147.0,3,42,877,5/14,21.0,20.88,5.96,1,1,2015,2019
Mashrafe Mortaza,Bangladesh,54,53,189.5,1,42,1527,4/19,27.1,36.35,8.04,1,0,2006,2017
B Kumar,India,43,43,154.2,2,41,1088,5/24,22.5,26.53,7.04,0,1,2012,2019
WD Parnell,South Africa,40,39,124.5,3,41,1038,4/13,18.2,25.31,8.31,1,0,2009,2017
KOK Williams,West Indies,24,24,86.5,2,41,724,4/28,12.7,17.65,8.33,1,0,2016,2019
Al-Amin Hossain,Bangladesh,28,26,91.2,0,40,673,3/20,13.7,16.82,7.36,0,0,2013,2019
Dawlat Zadran,Afghanistan,34,34,123.3,2,40,980,4/44,18.5,24.5,7.93,1,0,2012,2019
T van der Gugten,Netherlands,39,38,118.5,0,40,847,3/9,17.8,21.17,7.12,0,0,2012,2019
TA Boult,New Zealand,27,27,98.5,1,39,854,4/34,15.2,21.89,8.64,1,0,2013,2019
JW Dernbach,England,34,33,117.0,1,39,1020,4/22,18.0,26.15,8.71,1,0,2011,2014
AU Rashid,England,40,38,133.0,1,39,1000,3/11,20.4,25.64,7.51,0,0,2009,2019
Rohan Mustafa,United Arab Emirates,38,36,113.5,2,39,774,4/18,17.5,19.84,6.79,1,0,2014,2019
MA Starc,Australia,28,28,106.3,1,39,718,3/11,16.3,18.41,6.74,0,0,2012,2019
MG Johnson,Australia,30,30,109.2,2,38,797,3/15,17.2,20.97,7.28,0,0,2007,2013
HH Pandya,India,40,39,116.5,1,38,976,4/38,18.4,25.68,8.35,1,0,2016,2019
DL Vettori,New Zealand,34,34,131.1,1,38,748,4/20,20.7,19.68,5.7,1,0,2007,2014
J Botha,South Africa,40,39,129.0,1,37,823,3/16,20.9,22.24,6.37,0,0,2006,2012
Kuldeep Yadav,India,19,19,71.3,1,37,499,5/24,11.5,13.48,6.97,1,1,2017,2019
AD Mathews,Sri Lanka,72,57,161.3,4,37,1101,3/16,26.1,29.75,6.81,0,0,2009,2018
Mohammad Naveed,United Arab Emirates,31,31,114.4,5,37,729,3/14,18.5,19.7,6.35,0,0,2015,2019
AJ Tye,Australia,26,25,91.5,1,37,815,4/23,14.8,22.02,8.87,1,0,2016,2018
AC Evans,Scotland,27,25,93.0,4,36,689,5/24,15.5,19.13,7.4,0,1,2015,2019
JP Faulkner,Australia,24,24,85.5,0,36,684,5/27,14.3,19.0,7.96,0,1,2012,2017
